Brief Description,Primary Cause,Hazardous Element,Initiating Mechanism,IM2,Pivotal Element 1,Pivotal Element 2,Pivotal Element 3,Activity Type,Potential Accident/Incidence,Potential Target,Potential Threat
"On the way to office from site (road leading from SBI junction to Purchase office), my vehicle driver put the left side indicator to turn from main road to mandap path road. While turning to left a bike crossed from the left side and drives to purchase side. Suddenly my vehicle driver put the break and just escaped the accident. The bike rider overtaken from the left side, because there is no bump beyond the black top area. ",High Speed,,,,,,,Main Road,collision,"people, property","injury, property damage"
One person was trying to park his bike on slope and bike got disbalanced and person and bike both could have fall on road but manage to maintain balance with help of other persons.,Poor Road Condition,,,,,,,Other Roads,"slipping, falling","people, property","injury, property damage"
I came to office by my two wheeler on 8.05 Am. Near power house the road became slippery due to water. My vehicle was just slip and somehow I am able to control it. ,Poor Road Condition,,,,,,,Other Roads,,"people, property","injury, property damage"
One bus bearing Reg No-YYYY was going to Barkakana for trade test of miner&#39;s . It front left glass started falling from the attachment. Bus was immediately stopped  &amp;  falling Glass was taken in hand by its driver &amp; helper. No body injured,Poor Vehicle condition,,,,,,,Other Roads,,,
We are moving for inspection of effluent tank at our main hospital. Some precast slab placed over drain and while crossing over slab it fall down in to drain. Nothing was happened somehow person ( Munsi) manage himself from fall in to drain.,Slippary Pathway,,,,,,,Other Roads,falling,person,injury
"I along with Foreman were going to officer&#39;s club for installation of Air conditioner by Tata mobile . As We were parking the vehicle in front of club, a motorcycle rider came in the back side of vehicle in wrong direction. we applied immediately brake, thus he luckly saved. no injury happened. the motor biker advised to see the signal then to move. He assured this type of act will not be repeated in future for his safety",Neglegent Driving,,,,,,,Main Road,collision,"person, property","injury, property damage"
When I was coming to office by car from Administrative  building. One person from account were started his motor cycle &amp; turned in main road with high speed. I applied brake immediately. Thus he saved lucklt,High Speed,,,,,,,Main Road,collision,"person, property","injury, property damage"
"while coming to duty I was positioning my car by taking right turn to keep my car in garage as front out side, same time one worker crossed my car from right side but very close to front portion of my car even after he have seen the car is moving right side ",Neglegent Driving,,,,,,,Other Roads,collision,property,property damage
"During c/c dispatch through trucks, it was found that one driver of one truck get down from truck. Counselling was done to him at site and get agreement not to be done in future.",Neglegent Driving,,,,,,,Other Roads,,,
Skidding observed in one tripper due to slurry accumulation on road. All trippers are stopped from reject dispatch and road was cleaned and maintained,Slippary Pathway,,,,,,,Other Roads,,,
02 W2 employees were found violating road safety norms1. Sangra Murmu - Driving 02 wheeler2 Vijay Kumar - sitted back on 2 wheeler without crash helmetPerson may got head injury as not using crash helmet,Neglegent Driving,,,,,,,Main Road,,,
The reject was being transported by tipper from washery to reject yard . The net weight of reject was found more than 16 MT. The designed capacity of tipper is 10 MT. Hence overloading  of tipper was being  done. The spring leaf of  10Tonner tipper found damaged,,,,,,,,Main Road,,,
"While crossing overbridge between W2 &amp; W3, one person slipped on inclined path, he got the hand rail &amp; narrowly missed from any injury",Slippary Pathway,,,,,,,Other Roads,,,
"While leavng the workplace, one employee bike slips on the road. The condition of road due to rain has become slippery. The employee did not fall as he was driving slowly. ",Slip /trip /fall,,,,,,,Main Road,slipping,"people, property","injury, property damage"
"while crossing under bridge, one hywa skided on road due to slippery road &amp; spillage of coal on road. Driver any how controlled the hywa.",Slippary Pathway,,,,,,,Main Road,,"people, property","injury, property damage"
One person was slipped while going to NRD office from Washery-3 as he crosses the main road which was used to reject transportation. Road was slippery due falling of water (from sprinkler). He narrowly escaped from any injury.,Poor Road Condition,,,,,,,Other Roads,,"people, property","injury, property damage"
"During middling coal dispatch from W3 trucks were parked on road in line (near c/c gamma room). As this was single road for heavy and light vehicles, road was jammed. light vehicle may be scratched/damaged due to congestion on road. Transportation supervisor was informed and jam has been cleared.",Poor Road Condition,,,,,,,Other Roads,collision,property,property damage
One dumper was found in breakdown condition. It was under repair but its scotch blocks were not provided properly in all wheels.  job was stopped and scotch blocks were provided. counselling done to all employees and supervisor.,Poor Vehicle condition,,,,,,,Other Roads,,,
"One dumper was found skidding, same was stopped and road was cleaned with grader",Slippary Pathway,,,,,,,Main Road,,,
"During truck transportation, one hywa was found overtaking another but due to spillage materials, the tyre skids on road. Driver however control his vehicle for any accident",Slippary Pathway,,,,,,,Other Roads,,"people, property","injury, property damage"
A bike was rushing on to the road junction at a speed of over 60 kmph. It was overspeeded and was potentially unsafe.,High Speed,,,,,,,Main Road,"skidding, collision","people, property","injury, property damage"
"Hywa was coming in top speed while crossing chainpur diversion road ,one hywa narrowly escaped from dashing ",High Speed,,,,,,,Main Road,collision,"people, property","injury, property damage"
Chainpur road at night is potentially dangerous as no water sprinkling was done from day and most of the trucks don&#39;t have back light or any fluorocent stickers.,Poor Road Condition,,,,,,,Other Roads,,,
"Front tyre of Hywa became damage &amp; vehicle became trapped on the main pathway, while passing of other Hywa touched with existing one. immediately Operation stopped and side pathway developed for proper passage of loaded tipper. ",Poor Vehicle condition,,,,,,,Other Roads,collision,"people, property","injury, property damage"
A bike slipped while applying brakes,Poor Road Condition,,,,,,,Other Roads,,people,injury
"While movement of Contractor person of M/S XY, due to uneven surface &amp; spillage middling coal, person slipped near the maintenance shed.",Slippary Pathway,,,,,,,Other Roads,,,
"Due to damage of road, TMT ROD exposed & front tyre ( left) of tipper no damaged.",Neglegent Driving,,,,,,,Other Roads,,,
A bike slipped ,Poor Road Condition,,,,,,,Main Road,,,
Road was cleaned two days back  to avoid slippery condition. But a huge heave of waste was placed just at the junction of NRD road and Hall road. Any one coming from NRD towards canteen has a blind corner towards right from where there is continues truck movement. A person coming out from NRD almost slipped from bike to avoid collide from truck which he could not see. Although Truck was in normal speed and the bike was also slow nothing happened. But it is a high potential area for fatal accident. ,,,,,,,,Main Road,,,
"While going to office post lunch, a empty 15tonne dumper was going from patel chowk to driver hut vai the sports hsoel road. Suddenly at the high gradient junction at the washery road , the dumper stopped suddenly and started to come backward without giving any signal. I being in the back of the dumper somehow managed to keep my vehicle in the left hand side. Dumpers should be prevented to use this road during working hours.",Neglegent Driving,,,,,,,Main Road,collision,"people, property","injury, property damage"
"In the road connecting the patel chowk to Sports hostel, near the ash pond turning, lot of mud has accumulated in the road. The area has become  very slippery for two wheeler vehicle. Chances are high for skidding of vehicles.",Poor Road Condition,,,,,,,Main Road,"slipping, skidding","people, property","injury, property damage"
"I was on my way to home and chose the route in front of Officer&#39;s club. One child, suddenly emerged out of the gate of the club, and rushed laterally across the road without paying heed to the traffic on road. there was potential of dashing however I veered my vehicle on time and saved the child from being hit. ",Vehicle Dashing,,,,,,,Main Road,hitting,people,injury
"I was on my way to GM office. A bike at high speed turned near the hairpin turning before Purchase gate and was on the verge of colliding with my car as the driver was not conscious of the impending vehicle. However, I exercised caution and showed presence of mind and steered my vehicle clear of the danger",High Speed,,,,,,,Main Road,collision,"people, property","injury, property damage"
Empty hywa no. YYYY returning after unloading of CCL coal dashed with  middling empty Truck No. at 1.15 PM today   on Karmnalla -  Weighbridge road. ,Neglegent Driving,,,,,,,Main Road,,,
A hywa entered in truck lane a forest lane parking,Neglegent Driving,,,,,,,Other Roads,,,
Hywa JH 2V 1974 broken the drop gate at Mukundabera checkpost,Neglegent Driving,,,,,,,Other Roads,,,
Jh roll over back side and hit another vehicle,Vehicle Dashing,,,,,,,Other Roads,,,
Tipper JH was carrying rejects under XY from washery topled at rejection yard. The driver was drunken conditin run away from the site. XY superwisor was not available at site,Neglegent Driving,,,,,,,Other Roads,,,
Mr. Anand Kumar Security supervisor when he had going to weigh bridge area for security guards supervision At 8:20am he had fall down near south weigh  bridge office gate because there was Slippery surface but he had not injured in Incident &amp; he had luckily Saved.  ,Slippary Pathway,,,,,,,Other Roads,,people,injury
A empty Hyva no.  dashing with road side wall at KND near Conveyor belt crossing .Driver is safe but  damage of front side bumper    ,Neglegent Driving,,,,,,,Main Road,,,
Hywa no.  broken the fencing near north weighbridge,Neglegent Driving,,,,,,,Other Roads,,,
"During water sprinkling  at KND road near water filling turning points hyva no  , driver Surendra Mahto D/l No ,Dashing another hyva of his In front  no  Driver Rajesh  Mahto  D/L  No- ,Owner of the both vehicle are, same Kumar yadav .Vehicle no  radiator and front cabin is damaged slightly  ",Vehicle Dashing,,,,,,,Other Roads,,,
The loaded truck was coming from Karmnalla and empty hywa was going to load rejects. truck driver loose his balance as the hywa operator was mis driving the vehicle.,High Speed,,,,,,,Other Roads,,,
One tailings truck skiddaed due to over spaying of water,Poor Road Condition,,,,,,,Other Roads,,"people, property","injury, property damage"
About to collision due to Confusion of 2 vehicles,Neglegent Driving,,,,,,,Other Roads,collision,"people, property","injury, property damage"
"While going down in the slope of Rajeev Nagar from Chawk, one Bolero was going in front of my vehicle. Two numbers of motor bikes were also there in between Bolero and my vehicle. All of a sudden, without giving any indication, the bolero applied the break. As a result, both the motor cycles were about to dash with the Bolero. Somehow it was avoided. ",Neglegent Driving,,,,,,,Main Road,collision,"people, property","injury, property damage"
"While coming from PCP3 Project site, near drop gate, due to uneven road, I was about to fall and somehow managed to save myself from falling. Advised the site in-charge to make the inside road smooth, so that no such incident could reoccur.",Poor Road Condition,,,,,,,Other Roads,,,
One bike from SBI came suddenly on the road &amp; about to hit my car. I stopped my car &amp; avoided accident,Neglegent Driving,,,,,,,Other Roads,,,
"While coming from Hospital side, near the hump on the turning, two bikes overtook me from the left side, though my indicator for left turning was on. Actually, to avoid the hump, people preferred to go by the side of the road I that place.",Neglegent Driving,,,,,,,Other Roads,collision,"people, property ","injury, property damage"
"While i was coming to the main road from colony road , i saw a motor bike was going with a very high speed , I stopped my vehicle &amp; stopped incident",High Speed,,,,,,,Other Roads,collision,"people, property ","injury, property damage"
One bike over taked my Car from the left side without any indication and in a very high speed. Chances were there to have a collision.,High Speed,,,,,,,Other Roads,collision,"people, property ","injury, property damage"
"All persons were assembled near newly commissioned 90T Mobile crane. One of them, while going towards SCH area got slipped and about to fall, but somehow, he managed to save himself. ",Slippary Pathway,,,,,,,Other Roads,,"people, property ","injury, property damage"
"While going from site office towards TSH Building, one Contractor employee namely Mr. Yudus Ansary slipped and about to fall. But somehow, he could manage to stop himself from falling.",Slippary Pathway,,,,,,,Other Roads,,people,injury
One worker of M/s. N Enterprise was walking towards Secondary Crusher House and found slipping and about to fall in the muddy road. He could save himself from falling and thus an incident could be avoided.,Slippary Pathway,,,,,,,Other Roads,,,
"While, I was going towards New Auto Sampler commissioning site at C5 Belt at Chainpur, I was about to slip on the uneven road, but somehow managed to stop me from slipping.",Poor Road Condition,,,,,,,Other Roads,,people,injury
One person of M/s. I System working at C5 conveyor Auto Sampler erection  job was coming down through the approach road. I saw he was about o slip but somehow he managed to save himself from slipping.,Slippary Pathway,,,,,,,Other Roads,,people,injury
"Tanker  was parked near coke oven gas line section from night. At 9 :15 am driver came &amp; start the tanker pressure built for proceeding vehicle. Helper was in back for reversing. In the mean time winger came to picked up his supervisor, he parked vehicle behind the tanker. Tanker was in reversing mode. After picking his supervisor winger driver start proceeding towards left for WRP weigh bridge. In this process tankerâ??s left rear tank guard dashed with wingerâ??s right rear portion. So rear right light set &amp; mud guard of winger got damage. No injury.",Vehicle Dashing,,,,,,,Other Roads,,,
"Brief-He was coming from Burmamines gate &amp; going to PH#3 to join b shift duty. After punching at PH#3 Check house he was going to DM Plant with his bike. At DM Plant turning road one unknown bike dashed his bike from back side. He fell down on road . After that he gone to his plant. After half an hour he feel pain in his back side then he called  ambulances &amp; came to W.P.F,A.After dod he was refered to T.M.H. AT T.MH HE Was admitted to 4A.",Vehicle Dashing,,,,,,,Main Road,,,
some branches(extension) of a guava tree came down which interrupt almost 30% road and the same time trasport bus also came through opposite sites so road passage is limited and road Interruptions by tree branch cause a near miss happening.,,,,,,,,Main Road,1. unbalanced and fallen down,1. human,1. injury
"Name- Arjun singh biruag.p.no-Vendor- U enterprises Vehicle no- Work under- Water managementPlace-Road behind of MPDS#6Toi-9 a.m.Brief- He was coming from Sunsunia catch pit and going towards Water management. Near MPDS#6 Road when he was crossing lagon area a bike came from front side , suddenly he applied brake&amp; his helmet skidded from the seat. He then tried to catch the Helmet. In this process his vehicle steering moved RT side &amp; dashed to iron slab in the road. His vehicle left front side damaged.no any injury. Alcohol of the driver was checked on the spot &amp; found o.k.",,,,,,,,Other Roads,,,
vehicle was parked near the gate created a blind spot,Vehicle Dashing,,,,,,,Main Road,1. collision,1. human 2. property,1.Injury 2. property damage
"Rectifier HT transformer brought in B shift and placed at uneven surface, causing tranformer  is inclined and due to which oil leakge takes place from top cover gascate and oil came on the road may happen unsafe occurances. so sand provided on the surface and road.",Slippary Pathway,,,,,,,Other Roads,,,
"A bus of M/s M services was coming from CRM site through LD # 2 slag pit road &amp; had to go auction yard gate to pick â??up work man of B- shift. When it reached near CRM island driver given left blinker &amp; taking turn towards left. In the mean time Mr. B.K.Singh, P.No 500119 of MUEM,CRM who was coming from LD gas holder side &amp; was going towards CRM office side. Both collided near CRM island &amp; Mr. singh fell down on road infront of bus &amp; sustain minor injury. ",Vehicle Dashing,,,,,,,Main Road,,,
"While coming to C-shift duty on his two wheeler, Mr. Alok kumar got hit by a partially broken and hanging tree branch on the road .Mr. alok Kumar got unbalanced on his bike and fell down Injuring him self (Minor Cut and bruises) on his leg. Injured person attended East plant first aid where after treatment on duty doctor declared him fit for duty.",Poor Road Condition,,,,,,,Other Roads,,,
Audio alert system of Drop-Gate is not working while operating the Drop- Gate. People can injured when fall the Drop-Gate when passing from under the Drop- Gate,Vehicle Dashing,,,,,,,Other Roads,,,
"Mr. Mahapatra, P.No 6 of SMEM, LD # 3 was coming from LD # 3 office parking to VIP road on his bullet motor cycle # . While he was just joining the VIP road &amp; trying to take turn left side. His bike got skidded  due to silica dust material on road. He fell down on road &amp; sustain minor injury WPFA details : Abrasion left leg 3â??X1/2â??. Alleged contusion Rt. Knee",,,,,,,,Main Road,,,
"Driver of A Tata Xenon  of M/s MK running under SMEM was going with Amit Kumar IEM SGDP coming from WLS(Wagon loading system) and had to go SGDP shift office when reached near H BL.Canteen, suddenly driver felt doziness and he got unbalanced and dashed to left side water pipe support.In this process front left side body of TATA Xenon got badly damaged.No injury.",Neglegent Driving,,,,,,,Main Road,,,
"Vehicle 207 (Regn. No. ) of M/s/ K Contractor was hit from behind by Bus Regn. No. . In the process, the driver of 207 got cut injury behind his head. Victim attended West Plant First Aid &amp; declared Fit for Duty by doctor.  ",Vehicle Dashing,,,,,,,Main Road,,,
One person took overtake from left side.,Neglegent Driving,,,,,,,Other Roads,Collision/hit,property,property damaged
One 2-W overtook my car from left side,Neglegent Driving,,,,,,,Main Road,Collision/hit,property,property damaged
"While backing the Bike from parking lot, the cleaning lady was working there and had almost dashed this is reckless behaviour of the bike rider",Vehicle Dashing,,,,,,,Other Roads,,,
one person hit the bike to another person and person was about to fell down,Neglegent Driving,,,,,,,Other Roads,,,
Tata 407  of SGB scaffolding was coming from H.Bl.Fce after collecting material of scaffolding &amp; had to go HSM ID fan area to collect material. On the way near HSM mod canteen a trailer was taking turn towards left which was coming from CRM side &amp; had go HSM coil yard side. To give space Tata 407 driver took his vehicle right &amp; dashed with parked trailer  of A Corporation rear left trailer bed which was parked beside the road ( which was waiting for collecting invoice paper ). Loaded trailer were parked both side of the road &amp; road was narrow. In this incidence front right portion of Tata 407 got slight bend. No any injury.,Vehicle Dashing,,,,,,,Main Road,,,
"Mr.Rajesh Mahato,P.no ,Designation:JE1,Age 29yrs,Deapt:MSG Mech.,Section:Mills,was coming to attend General shift duty in his bike  .He entered through Main Gate,Bistupur and when he reached near CRM store,an unknown biker going ahead of his bike suddenly took left turn.To avoid dashing, he applied his brake.In this process, his bike got skidded and he sustained injury.",Slippary Pathway,,,,,,,Main Road,,,
One person was eating in designated car parking area. When the car was beingparked the driver suddenly noticed the person and applied brake. ,Vehicle Dashing,,,,,,,Other Roads,collision,person,Injury
"Mr Bishwa nath yadav  is  working under Field maintenance(Mech), came in the general shift duty by his scooty   and took in puch at plant mill check house and after that while he was proceed towards canteen side Mr Ajay Kumar    opened his car right door suddenly  due to that it hit the scooty and Mr yadav was got unbalanced and fell down and sustain injury. ",Vehicle Dashing,,,,,,,Main Road,,,
"Mr. Rajesh was coming towards FM Mills section at around 7.58 AM to join his duty. He was coming on his own bike Hero Splender . According to him, as he passed the turning near CRM Store. He was overtaken by an unknown two-wheeler which overtook him from right and turned left towards store without giving any signal. He applied both front &amp; rear brakes at once and his bike got skid resulting in unbalance. As a result he fell from the bike and got injured. ",,,,,,,,Main Road,,,
I WAS STANDING ON SIGNAL  A BIKE WAS AT LEFT SIDE WHEN THE GREEN SIGNAL GLOW THE BIKE RIDER MOVED RIGHT SIDE AND SKID I WAS BEHIND HIM AND SUDDENLY I STOPPED MY VEHICLE .,Neglegent Driving,,,,,,,Main Road,,,
"while coming to duty , i was behind a bike . while going  from coke plant main office to  works general office traffic light , the bike in front of me had a near miss. a car from the exit of car parking of  works general office suddenly came on the road and the bike in front of me applied brakes to avoid the collision with the car. there might have been an accident if the bike rider would not have been careful enough.",Neglegent Driving,,,,,,,Main Road,collision,person,Injury
WHILE GOING FRom NEW CO GAS HOLDER ROAD SIDE DURING TURNING THE BIKE GOT UNBALANCE,Run Over,,,,,,,Other Roads,skid,person,Injury
Due to small gap between drain cover my foot slip there but no incident is happen.,Poor Road Condition,,,,,,,Other Roads,falling,person,Injury
"Approx. 30meter of pipe on height a steam pipe passing through the road, insulation is badly damage and may it fall anytime. Needs to change immediately.",Run Over,,,,,,,Other Roads,falling of pipe,person,Injury
"Slurry pipe leakage resulting muck overflow in VIP road,",Slip /trip /fall,,,,,,,Main Road,Slip /trip /fall,"person, property","injury, property damaged"
Trailer parked on road without any guarding with extended material,Vehicle Dashing,,,,,,,Other Roads,Hit/Collision,person,Injury
DRAIN COVER WAS STRIKED WHILE WALKING AFTER PUNCHING,Poor Road Condition,,,,,,,Other Roads,,,
one drain cover was not properly placed I was about to fall because of that drain cover,Poor Road Condition,,,,,,,Other Roads,Fall,person,Injury
during open a wooden box an employee  stand on the pin of wooden box . It may damage his leg .,,,,,,,,Other Roads,Hit,person,Injury
"While I went pellet plant to power house-3 gate, at light signal. During green I went right turn toward power house gate but same time one car cross close to my bike. There was chance of road accident. ",Vehicle Dashing,,,,,,,Main Road,collision,"person, property","Injury, property damage"
Near PC#3 tail end at the curved road going to PC#3 head end the concrete road 10mm rod was exposed about of 2meter of length has been seen while doing inspection near PC#3 tail end,Poor Road Condition,,,,,,,Other Roads,,,
Stoppage of contractors and steel buses leading to narrow passage and road jamming.,Vehicle Dashing,,,,,,,Main Road,,"person, property","Injury, property damaged"
Mr. Satyender put his leg on grating which was on drain near by the cooling tower. But there was no proper support below the corner of the grating. Due to which he got unbalanced.,Poor Road Condition,,,,,,,Other Roads,,,
I was coming to duty by main road. Around 7:53 AM just after the zebra crossing at SBI bank inside works one bike suddenly crossed me and he was about to hit me. I applied sudden brake and escaped from dashing.,Neglegent Driving,,,,,,,Main Road,dashing,"person, property","Injury, property damage"
slippage of bike may have happened at the turning,Poor Road Condition,,,,,,,Other Roads,slip,person,injury
A two wheeler overtook me and took immediate left turn without giving any indication/ signal for turning.,Neglegent Driving,,,,,,,Other Roads,collision/ hit,person,Injury
"My bike got unbalanced on the road as there was a small object (brick material) on the road. Did not fall, was able to control because of loaw speed and no other vehicles on the road nearby. ",Poor Road Condition,,,,,,,Other Roads,Fall,person,Injury
"A small piece of brick was there on the road near G BG turning. I got Unbalanced on the bile, but no fall/ injury etc, as I was driving at a low speed. ",Poor Road Condition,,,,,,,Other Roads,fall ,person,Injury
"while turning towards the G Blast furnace , collision may have happened at the corner from the opposite side coming car",Poor Road Condition,,,,,,,Other Roads,Collision,"person, property","Property Damage, injury"
there was spillage aroubd the corner leading to lesser visibility of the vehicle going towards the corner turning,Poor Road Condition,,,,,,,Other Roads,Collision/Hit,property,Property Damage
Crane was coming from LD # 2 &amp; had to go pellet plant parking to park. Bolero was coming from RMM coal mech. Office ( Near pellet Plant) with 2 his officer &amp; had to go Ore office near RMBB# 1 office. When both reached near pellet plant turing they saw a loco was coming from cooling pond side &amp; they both took brake. When loco stop before reaching rail-road crossing. Crane start proceeding &amp; cross the rail track. In the mean time bolero came &amp; dashed with helper side of crane to the third wheel set. In this procerss front guard &amp; bumper of Bolero got damaged. No injury,Vehicle Dashing,,,,,,,Main Road,,,
FMD department doing structural repair job near CT pump house and welding cable was taken across the road.It was hanging  at low level.While one of the employee going on two wheelers he saw that he may entangle with hanging cable .He step down and remove welding cable and make it safer throughfare,High Speed,,,,,,,Other Roads,Entagling with cable,person,Injury
"while going towards A-F furnace road, Bike slipped but speed was very slow so skidding does not take place",Slip /trip /fall,,,,,,,Main Road,,,
"While returning home after B shift duty ,Mr Debabrata Dhal Mahapatra P No 156006 fell down  right side of his bike ,while taking right turn and sustained injury (Abrasion 3&quot;X1/2&quot; on left leg 4&quot; below the knee and alleged contusion right knee). The bike skidded due to slippery surface and as per the injured person the speed of the bike was slow at the time of incidence.The bike registration no is .",Slippary Pathway,,,,,,,Other Roads,,,
"On 19/01/2017 at around 5.05 PM, MD Majhar Hussain (Helper,19 years) of M/S XY. Construction was collecting the equipmentâ??s from coal yard RMM site and keeping on open dala tempo (Tata Ace) to send it in their main store. While operating the manual drop gate, the rope tied with drop gate arm entangled with his right leg . In result he received injury on his right leg - after first aid he has been referred to TMH for further investigation.",Slippary Pathway,,,,,,,Other Roads,,,
"A White indigo was going towards Furnace road from LD service road. I was driving the car which was positioned just behind the indigo. after crossing half of the crossing, the indigo abruptly changed its direction and was trying to make a U turn and tried to go towards LD2. I immediately applied brakes and just brushed the surface of the bumper of Indigo. This must be viewed as a serious offence on the part of Indigo",Neglegent Driving,,,,,,,Main Road,collision,"property, person","Property Damage, injury"
"while crossing l town signal one person run and cross zebra crossing just miss and controlled my two wheller by applying sudden brake,",Run Over,,,,,,,Main Road,Run over,person,Injury
"WHILE ComING TO PARKING WITH MY TWO WHEELER ONE TWO WHEELER ComING IN WRONG DIRECTION TO EXIT PARKING,JUST MISS AND CONTROLLED.",Neglegent Driving,,,,,,,Main Road,collision,"person, property","Injury, property damage"
"While coming to parking from main road ,opposite direction vehicle i.e two wheeler coming without seeing upcoming my two wheeler,also that exit closed by road management.",Neglegent Driving,,,,,,,Other Roads,Collision,"person, property","Injury, property damage"
WHILE ComING TO OFFICE NEAR SIGNAL AT LTOWN GATE ON LADY WORKER CROSSING ROAD WITHOUT SEEING UPComING VEHICLES.,Run Over,,,,,,,Main Road,Run Over,person,Injury
"while coming from ltown gate at signal all vehicles moving to go forward in all direction,one bike came suddenly and just missed collision.",Neglegent Driving,,,,,,,Main Road,collision,"person, property","Injury, property damage"
"while coming with my car after entered l town gate and going to take right turn,but one two wheeler came suddenly ,apply sudden  brake and control",Neglegent Driving,,,,,,,Main Road,collision,"person, property","Injury, property damage"
"while going out with my two wheeler,one vehicle came from opp side and he has not seen that i hv given signal for right turn,applied brake suddenly and control.",Neglegent Driving,,,,,,,Main Road,collision,"person, property","Injury, property damage"
"while going to cmg office near structural shop canteen one person suddenly cross the road without zebra crossing,applied sudden brake of my two wheeler and control.",Run Over,,,,,,,Other Roads,Run Over,person,Injury
"while crossing to ltown signal inside the plant one person run and came suddenly ,apply sudden brake .",Run Over,,,,,,,Main Road,Run Over,person,Injury
while coming to engg ser office with my two wheeler one two wheeler came suddenly due to work in progress at road.,Neglegent Driving,,,,,,,Main Road,Run Over,person,Injury
"While going towards n road gate suddenly pothpol came near nroad gate,just missed and applied brake firmly and balanced.",Poor Road Condition,,,,,,,Main Road,,,
"going towards chp-3,one vehicle came suddenly on turning,immedeately applied brake ,and just missed. ",Neglegent Driving,,,,,,,Other Roads,collision,person/property,Injury/ property damaged
"WHILE GOING TO PARKING BY MY TWO WHEELER ,ONE LADY CAR DRIVER SUDDENLY CAME AND GONE TOWARDS MAIN ROAD,I TAKE SUDDEN FRONT BRAKE.",Neglegent Driving,,,,,,,Other Roads,Run over,person,Injury
"WHILE CROSSING SIGNAL ONE PERSON SUDDENLY CAME WITHOUT SEEING ComING VEHICLE,JUST MISSED.",Run Over,,,,,,,Main Road,Run Over,person,injury
"while coming out from power house-4,one car came suddenly,just miss.",Vehicle Dashing,,,,,,,Main Road,run over,person,Injury
while going towards chp-3 one bike sudden came.,Neglegent Driving,,,,,,,Main Road,collision/ hit,"person, property","Injury, property damage"
"WHILE ComING TO PLANT AT LTOWN GATE ,ONE PERSON CROSS ROAR SUDDENLY.",Run Over,,,,,,,Main Road,Run Over,person,injury
"while coming to office parking ,one two wheeler came in wrong direction at parking,taken sudden brake of my two wheeler and control.",Neglegent Driving,,,,,,,Main Road,collision/ hit,person/property,Injury/ property damage
"while coming towards engg ser parking via main road while taking turn to parking one two wheeler came from wrong side suddenly ,applied brake suddenly and control.",Neglegent Driving,,,,,,,Main Road,collision/ hit,person/property,Injury/ property damage
while crossing ltown signal with my two wheeler.one car suddenly came and just missed due to sudden front brake applied by me.,Neglegent Driving,,,,,,,Main Road,collision/ hit,person/property,Injury/ property damage
"WHILE GOING TO BATTERY -7 WARFH WITH OUR ComPANY JEEP,AT TURNING ONE FARANA CAME SUDDENLY APPLIED SUDDEN BRAKE BY DRIVER AND CONTROL.",Neglegent Driving,,,,,,,Other Roads,collision/ hit,person/property,Injury/ property damage
"WHILE CMG TO OFF WITH MY TWO WHEELER NEAR SIGNAL CROSSING ONE PERSON RUN AND CROSSED,JUST MISS,TAKEN BRAKE AND CONTROLED.",Run Over,,,,,,,Main Road,Run Over,person,injury
"NEAR MAIN GATE ,WHILE ComING TO OFFICE FRom MY CAR ONE TWO WHEELER SUDDENLY CROSS THE ROAD ,TAKEN BRAKES SUDDENLY AND CONTROLED.",Neglegent Driving,,,,,,,Main Road,collision/ hit,person/property,Injury/ property damage
WHILE ComING TO OFFICE BY CAR  NEAR LTOWN GATE ONE PERSON CROSSING ROAD WITHOUT SEEING UPComING VEHICLES.,Run Over,,,,,,,Main Road,Run Over,person,injury
"while coming with with my car one vehicle sudden came from left side,taken brake and controll.",Neglegent Driving,,,,,,,Main Road,collision/ hit,person/property,Injury/ property damage
while coming to l town gate person crossing road without seeing coming vehicles.,Run Over,,,,,,,Main Road,Run Over,person,injury
"while coming towards l town gate ,person crossing road away from zebra crossing.",Run Over,,,,,,,Main Road,Run Over,person,injury
WHILE ComING TOWARDS LTOWN GATE ONE MOTORCYCLE TAKE TURN WITHOUT GIVEN SIGNAL.,Neglegent Driving,,,,,,,Main Road,collision/ hit,person/property,Injury/ property damage
"while coming with my car one vehicle  suddenly come inbetween two cars,its just near miss to an incedent ,suddenly taken brake and controlled due to slow speed.but inconvineance faced by behind cars.",Neglegent Driving,,,,,,,Main Road,collision/ hit,person/property,Injury/ property damage
"WHILE ComING TO OFFICE BY CAR ,NEAR LTOWN GATE ONE PERSON CROSSING THE ROAD BY RUNNING ,HE HAS NOT SEEN MY VEHICLEAT ALL,DUE TO LOW SPEED I HAVE CONTROLLED AND IT WAS JUST A NEAR MISS.",Run Over,,,,,,,Main Road,Run Over,person,injury
"while coming from coke plant off one vehicle turn suddenly left ,just missed collision",Neglegent Driving,,,,,,,Main Road,collision/ hit,person/property,Injury/ property damage
WHILE GOING TO MM NEAR GBF FRONT VEHICLE TAKEN SUDDEN BRAKE  SO OUR JEEP HAS ALSO TAKEN SUDDEN BRAKE AND JUST MISSED.,Neglegent Driving,,,,,,,Main Road,collision/ hit,person/property,Injury/ property damage
"while going to pp  near railway crossing one bus came with large radius of turning,controled my two wheeler ,",Neglegent Driving,,,,,,,Main Road,collision/ hit,person/property,Injury/ property damage
"while going with our dept jeep front sumo driver taken suddenly brake,our vehicle also apply sudden brake and control,just miss.",Neglegent Driving,,,,,,,Main Road,collision/ hit,person/property,Injury/ property damage
